   I        Q 
 372      319 
 265     1115 
-796     -690 
-425      -53 
-265     -265 
-1380     -372 
-637      212 
-425      106 
 265     -425 
-106      106 
-584     -159 
-159      849 
 372     1115 
 -53      319 
-690     -690 
1593      319 
 106     -159 
 796      743 
1433     -531 
 637      849 
 -53      743 
-1062      106 
-796     -584 
-265     -106 
  53     -743 
 956      531 
1274      212 
 425     -106 
-637      372 
-106      319 
1168      796 
   0      743 
 -53      -53 
-531     -796 
 159    -1062 
-265      425 
 212        0 
 584      212 
 903     -212 
   0     -265 
1274      212 
 956     -956 
-425      319 
 849     -531 
 265      584 
-478      106 
 690      584 
 478      637 
 319      265 
  53      106 
-584     -159 
1274      478 
 690     -265 
 903      425 
 265       53 
-212     -903 
 637     -159 
-743        0 
 265     -319 
-372     -212 
   0     -849 
 372     -106 
 478     -956 
-159      106 
-159      956 
-1327      159 
-796     -372 
1062     1062 
 212     -212 
 265     -425 
-690     -265 
-212       53 
-1062      265 
-849        0 
-796        0 
-1009      319 
-743     -796 
-637     -159 
-425     -265 
 637      372 
1062     -319 
-425     -425 
 159        0 
-106     -106 
-637     -743 
-531      478 
-1009     -265 
 478     1062 
   0      265 
 584     -106 
-372       53 
-212      212 
 265     -584 
   0      478 
 743     -319 
-478     -584 
 796     -478 
-159      584 
 -53    -1593 
-212     -690 
-265      372 
 903      903 
-425      212 
 690     -106 
 -53     -265 
 -53     -637 
  53      -53 
 -53      106 
-690     -372 
-531     -743 
 212       53 
-159    -1380 
 106      212 
 372     -106 
  53      212 
-212     -265 
 -53      159 
 690      319 
 372     -425 
 425     -531 
 478     -372 
 478     -425 
-425      903 
1327     -584 
-106      690 
   0     -584 
-796      425 
 584      212 
 319     1274 
 106      159 
 319    -1062 
 478     1221 
 212      796 
-1327     -956 
 -53      106 
-106      106 
 212     -372 
-159     -637 
  53       53 
  53     -319 
-106      319 
 372     -212 
  53      584 
 478     -531 
-319      106 
 849      637 
-425      478 
-159     1327 
-796      478 
-319        0 
 637      319 
 265     -265 
-478       53 
 265      425 
-372      637 
-1115      -53 
-265     -265 
1062      425 
 106      956 
-1062      212 
 372      159 
1009     -319 
   0      531 
 -53      690 
 319     1009 
-425      584 
 159      212 
1327      212 
-478     -690 
  53        0 
 212        0 
 212     -425 
 478      -53 
-106      106 
-372      531 
 -53      372 
-1009      956 
-106     -637 
1168     -319 
-319     -106 
 212     -531 
 265     -531 
 212       53 
  53        0 
-319      690 
 212      690 
 159      212 
 106      796 
 319      584 
-106      -53 
-637      265 
-425      425 
 372     -106 
 531      690 
-319     -106 
-690     -743 
-531      743 
 531      796 
 478     -425 
 425     -478 
 531     -265 
   0     -637 
 106     1009 
 372     -425 
 478     -743 
1380     -106 
-531     -159 
  53     -106 
 212     -637 
-637      690 
-796        0 
 106      372 
-372      265 
   0     -849 
-531      106 
 -53     -372 
  53     1009 
-1168      849 
 425     -265 
-1062     -584 
 159     -159 
   0     -106 
 106      372 
 796      425 
-849     -106 
-372      584 
-425        0 
 849      690 
 690     -265 
 372      425 
-849     -372 
-265     -106 
 265      -53 
 212    -1168 
-372     -319 
 796      796 
-319     -425 
 212     -372 
1062     -478 
 903       53 
-106        0 
 425     -849 
 903       53 
-531     -478 
 531     -212 
1009     -425 
 531     -159 
 637      425 
   0    -1168 
-690      903 
-372      159 
 849     -212 
  53      690 
 425     -690 
-531      106 
-956     -106 
-1115     -796 
 159       53 
-1115      796 
 743     -956 
 584      106 
 159     -212 
 531     -106 
 -53      319 
-956      478 
 -53      159 
-372     -106 
 637      265 
 159      319 
 212     -212 
-212     -265 
-478     -319 
 159    -1009 
-212     -159 
 743     -372 
-212      319 
-425     -212 
-106     -212 
 584     -159 
-319     -212 
 -53     -478 
-796     -903 
  53     -265 
-212      319 
-212       53 
  53     -478 
   0     -584 
   0     -319 
1593     -265 
 531     -159 
 903      159 
 849     -372 
-159     -106 
-265     -372 
-849     1009 
-531        0 
-159     -319 
 -53     -849 
 159     -212 
 106     -637 
-637     -212 
-159     -106 
 903     -849 
-159      265 
-478      319 
-159      425 
 159      372 
-212     -159 
-212     -159 
-159      743 
 637     -584 
 425      159 
-372      425 
-372     -106 
-903      796 
 584     -637 
 -53      637 
-106     -584 
 106     -425 
-690     -478 
-478        0 
 106     -212 
-159     -372 
-1062      159 
-425      212 
 159      372 
 584     -106 
  53      531 
  53     -212 
-265     -212 
 106      425 
 265     -531 
-478      531 
 531     -425 
-849      -53 
   0     -372 
-106     -106 
 849     -478 
-159      531 
1699       53 
-159     -212 
-372     -319 
1221     1433 
   0      425 
-159     -159 
  53     -212 
-531      849 
-743     -159 
-319      159 
  53     -478 
 584      531 
 637     -106 
 265     -903 
 637     -319 
1380     -637 
 319     -212 
 531      531 
-159      -53 
 637      -53 
-584        0 
-159     -265 
-478      265 
-319      159 
1062      212 
-106      743 
-212     1009 
 531     -425 
-159      637 
 159      -53 
 265      425 
-478      690 
-212     -106 
1009      319 
  53     -478 
 478     -425 
 690     -531 
 319     -265 
  53      265 
 690      319 
-690     -265 
 637     1009 
-1115     -531 
-690     -212 
-212      212 
 -53     -584 
-849     -478 
 425      106 
 -53     -265 
-584     -690 
-637     -159 
-531     -319 
-425     -849 
 -53      106 
 -53     -478 
-319     -903 
 -53     -956 
-319     -319 
 106      -53 
 796        0 
 478      531 
-212     -743 
  53      903 
-106     -319 
-212      -53 
-159      531 
 584     -265 
-265     -265 
 106      106 
 319      265 
-531     -372 
-796      903 
 425      106 
 212     -212 
-265      425 
 584      372 
 159     -319 
-212     -212 
-212     -637 
-265     -425 
-584       53 
1433     -584 
-1221       53 
 159    -1009 
   0      212 
-690      106 
 -53     -690 
 212     -212 
 531     -531 
  53      531 
 319    -1009 
 903      265 
 -53      425 
-319      319 
-743     -106 
 425      743 
-265     -372 
 743      265 
  53      -53 
 -53        0 
-319        0 
-265     -372 
-690     -796 
 319      372 
-212     -425 
 319     -212 
-903      956 
 159      265 
-478     -372 
-849     1274 
-106      372 
 319      425 
 531      265 
 637      425 
-212     -319 
-531    -1858 
1593      903 
-265      212 
-372     -106 
 265      -53 
-584      743 
-372     1009 
-796     -690 
-106        0 
-584     -159 
