   I        Q 
8.951901e+00 2.484451e+01 
2.565731e+01 7.149677e-01 
1.490839e+01 -4.347550e+00 
-1.552229e+00 -1.470592e+01 
2.496575e+00 1.109512e+01 
1.072429e+01 -1.469159e+01 
-1.203265e+01 -2.126506e+00 
-6.557264e+00 -1.201326e+01 
-3.231228e+01 3.603751e+01 
4.171813e+01 9.726261e+00 
-2.092899e+01 2.192688e+00 
2.540218e+01 2.041889e+01 
1.851003e+01 -4.717602e+00 
5.136333e-01 -2.170548e+01 
-1.392658e+01 9.179930e+00 
2.278401e+00 1.851815e+01 
2.945944e+01 9.845595e-01 
-5.743123e+00 -1.527000e+01 
-2.541547e+00 8.693749e+00 
1.705411e+01 1.165197e+01 
1.447843e+01 -1.841323e+01 
6.108710e-01 -1.243583e+01 
-1.617022e+01 -6.054259e+00 
1.242855e+01 7.995237e-01 
-3.388559e+01 -1.627879e+01 
6.895383e+00 4.570467e+01 
1.571233e+01 -2.157282e+01 
-2.730812e+00 1.489202e+01 
7.706852e+00 -1.949672e+01 
-1.754319e+01 9.472686e+00 
1.112559e+01 1.090683e+01 
6.574734e+00 -1.526493e+01 
-2.465529e+01 1.678143e+00 
3.280078e+00 2.826945e+01 
1.937307e+01 -2.888953e+00 
-8.457370e+00 3.538879e+00 
1.942010e+01 1.470894e+01 
1.626151e+01 -1.461331e+01 
3.497213e+00 -8.007676e+00 
-1.608863e+00 -1.717629e+01 
-3.699503e+00 -1.786398e+00 
-1.575713e+01 -1.121828e+01 
1.032054e+01 1.066267e+01 
-2.340942e+01 -3.426871e+01 
-2.487861e+01 2.926419e+01 
-6.054071e+00 2.039416e+00 
-1.327851e+01 2.224494e+01 
-6.742350e+00 2.188967e+01 
1.947454e+01 2.897166e+01 
1.288450e+01 1.274138e+00 
8.609589e+00 2.543502e+00 
1.565621e+00 1.469158e+01 
1.712743e+01 4.298692e+00 
1.645865e+01 6.427659e+00 
7.854687e+00 -1.356235e+01 
9.258663e-01 5.166502e+00 
6.873683e+00 6.294713e+00 
2.638871e+01 2.793383e+00 
3.684748e+00 -3.343083e+01 
-1.083342e+01 1.099621e+01 
6.940505e+00 -1.566842e+01 
-1.158949e+01 -1.374622e+00 
-1.467377e+01 1.936710e+01 
2.823157e+01 -3.799905e+00 
-2.174094e+01 1.254183e+01 
2.741235e+01 -1.735348e+00 
-6.432169e+00 3.298577e+00 
6.181151e-01 3.325184e+00 
1.288403e+01 1.582960e+01 
2.095042e+01 9.110491e+00 
2.461465e+01 -2.524990e+01 
-9.181374e+00 1.694552e-02 
1.875010e+01 -1.315860e+00 
1.337836e+01 -1.443622e+01 
-3.403093e-02 -1.321156e+01 
1.471785e+01 -1.272632e+01 
-2.317574e+01 -3.163756e+01 
-1.026220e+01 2.359988e+01 
5.834398e+00 3.117323e+00 
3.373488e+01 -7.128038e+00 
-1.597212e+01 -2.995470e+01 
1.007757e+00 -5.059754e+00 
-5.861845e+00 -8.321395e+00 
-8.068507e+00 -1.365924e+01 
-4.397685e+00 -1.617320e+00 
-6.267711e+00 -9.689659e+00 
-1.173238e+01 -1.039605e+01 
-8.420505e+00 -5.890172e+00 
-3.346741e+01 -2.446788e+00 
-8.105052e+00 2.089985e+01 
2.348831e+00 2.437904e+01 
1.861049e+01 -1.713579e+01 
-1.807559e+01 -2.948472e+00 
-1.757213e+01 3.691194e+00 
6.248072e-01 3.040763e+01 
